par_cz,kid_race,par_pctile,shrunk_xkid_mtabalance2020,cz_name
26302,White,25,88090.93023255814,Carrington
26302,Pooled,-9,110493.9175257732,Carrington
26302,White,50,108212.1317829457,Carrington
26302,White,75,128333.3333333333,Carrington
26302,Pooled,75,128333.3333333333,Carrington
26302,White,-9,110493.9175257732,Carrington
26302,Pooled,25,88090.93023255814,Carrington
26302,Pooled,50,108212.1317829457,Carrington
26303,White,25,87613.22580645161,Turtle Mountain UT
26303,Hispanic,25,28910,Turtle Mountain UT
26303,Hispanic,-9,39825,Turtle Mountain UT
26303,AIAN,50,15540,Turtle Mountain UT
26303,Hispanic,75,50740,Turtle Mountain UT
26303,Hispanic,50,39825,Turtle Mountain UT
26303,AIAN,-9,11352.41758241758,Turtle Mountain UT
26303,White,75,111111.7647058823,Turtle Mountain UT
26303,White,-9,95935.625,Turtle Mountain UT
26303,AIAN,25,8350,Turtle Mountain UT
26303,White,50,99362.49525616698,Turtle Mountain UT
26303,Pooled,75,63093.25,Turtle Mountain UT
26303,Pooled,-9,40520.95238095238,Turtle Mountain UT
26303,AIAN,75,22730,Turtle Mountain UT
26303,Pooled,25,32082.71028037383,Turtle Mountain UT
26303,Pooled,50,47587.98014018692,Turtle Mountain UT
26304,Pooled,50,102372.8943409862,Minot
26304,Black,25,40430,Minot
26304,Hispanic,75,96305,Minot
26304,AIAN,25,26428.46153846154,Minot
26304,White,50,105819.8871636706,Minot
26304,Hispanic,-9,70922.58064516129,Minot
26304,Pooled,75,123237.8391551584,Minot
26304,Asian,75,121200,Minot
26304,White,75,125943.29004329,Minot
26304,Asian,50,108485,Minot
26304,Hispanic,50,70076.5,Minot
26304,Black,50,54210,Minot
26304,Black,75,67990,Minot
26304,AIAN,75,55104,Minot
26304,White,25,85696.48428405123,Minot
26304,Asian,25,95770,Minot
26304,Pooled,-9,105050.3391384051,Minot
26304,Asian,-9,108485,Minot
26304,White,-9,108777.4478649454,Minot
26304,Hispanic,25,43848,Minot
26304,AIAN,-9,38896.08695652174,Minot
26304,Pooled,25,81507.94952681389,Minot
26304,AIAN,50,40766.23076923077,Minot
26304,Black,-9,50451.81818181818,Minot
26305,White,25,82419.21052631579,Rugby
26305,AIAN,-9,30270,Rugby
26305,AIAN,25,17540,Rugby
